Tri;Taille;Permutations;Comparaisons
Heap;410;3003;8396
Bubble;420;47368;87990
Insert;420;47368;47780
Select;420;415;87990
Quick;420;3708;3978
Fusion;420;1617;3143
Heap;420;3067;8604
Bubble;420;44418;87990
Insert;420;44418;44827
Select;420;413;87990
Quick;420;4982;4112
Fusion;420;1598;3132
Heap;420;3103;8647
Bubble;420;44602;87990
Insert;420;44602;45015
Select;420;416;87990
Quick;420;3572;3651
Fusion;420;1628;3143
Heap;420;3127;8633
Bubble;420;45165;87990
Insert;420;45165;45580
Select;420;412;87990
Quick;420;3118;3874
Fusion;420;1623;3139
Heap;420;3170;8634
Bubble;420;44480;87990
Insert;420;44480;44894
Select;420;416;87990
Quick;420;3932;3881
Fusion;420;1601;3149
Heap;420;3121;8658
Bubble;420;41175;87990
Insert;420;41175;41590
Select;420;414;87990
Quick;420;3940;3746
Fusion;420;1615;3143
Heap;420;3196;8732
Bubble;420;44308;87990
Insert;420;44308;44718
Select;420;414;87990
Quick;420;4124;3902
Fusion;420;1612;3134
Heap;420;3078;8545
Bubble;420;44638;87990
Insert;420;44638;45054
Select;420;415;87990
Quick;420;3090;3838
Fusion;420;1616;3148
Heap;420;3130;8705
Bubble;420;45261;87990
Insert;420;45261;45673
Select;420;412;87990
Quick;420;4470;4003
Fusion;420;1632;3147
Heap;420;3104;8607
Bubble;420;44510;87990
Insert;420;44510;44925
Select;420;416;87990
Quick;420;4002;4297
Fusion;420;1637;3157
Heap;420;3143;8681
Bubble;430;46509;92235
Insert;430;46509;46928
Select;430;423;92235
Quick;430;4710;3937
Fusion;430;1665;3214
Heap;430;3205;8935
Bubble;430;44992;92235
Insert;430;44992;45416
Select;430;420;92235
Quick;430;3416;4611
Fusion;430;1669;3239
Heap;430;3236;8916
Bubble;430;48849;92235
Insert;430;48849;49271
Select;430;420;92235
Quick;430;5046;4397
Fusion;430;1651;3232
Heap;430;3181;8869
Bubble;430;44336;92235
Insert;430;44336;44755
Select;430;423;92235
Quick;430;3694;3917
Fusion;430;1673;3223
Heap;430;3217;8861
Bubble;430;45141;92235
Insert;430;45141;45562
Select;430;421;92235
Quick;430;3820;3862
Fusion;430;1665;3210
Heap;430;3288;9011
Bubble;430;46316;92235
Insert;430;46316;46739
Select;430;422;92235
Quick;430;5210;4570
Fusion;430;1652;3210
Heap;430;3256;8963
Bubble;430;45570;92235
Insert;430;45570;45990
Select;430;424;92235
Quick;430;4092;3698
Fusion;430;1670;3228
Heap;430;3213;8899
Bubble;430;46933;92235
Insert;430;46933;47353
Select;430;423;92235
Quick;430;4458;3956
Fusion;430;1655;3214
Heap;430;3215;8887
Bubble;430;43545;92235
Insert;430;43545;43973
Select;430;426;92235
Quick;430;3422;4054
Fusion;430;1661;3223
Heap;430;3258;8926
Bubble;430;49625;92235
Insert;430;49625;50046
Select;430;423;92235
Quick;430;4514;4044
Fusion;430;1638;3204
Heap;430;3161;8871
Bubble;440;48816;96580
Insert;440;48816;49248
Select;440;431;96580
Quick;440;4910;4135
Fusion;440;1700;3337
Heap;440;3275;9128
Bubble;440;49029;96580
Insert;440;49029;49462
Select;440;437;96580
Quick;440;3906;3903
Fusion;440;1681;3309
Heap;440;3308;9198
Bubble;440;48902;96580
Insert;440;48902;49336
Select;440;436;96580
Quick;440;4094;4177
Fusion;440;1692;3320
Heap;440;3309;9145
Bubble;440;50427;96580
Insert;440;50427;50862
Select;440;433;96580
Quick;440;5220;4534
Fusion;440;1670;3295
Heap;440;3264;9122
Bubble;440;48396;96580
Insert;440;48396;48833
Select;440;436;96580
Quick;440;5708;5126
Fusion;440;1684;3314
Heap;440;3266;9124
Bubble;440;50225;96580
Insert;440;50225;50659
Select;440;432;96580
Quick;440;3476;3926
Fusion;440;1694;3325
Heap;440;3274;9140
Bubble;440;47353;96580
Insert;440;47353;47786
Select;440;435;96580
Quick;440;4114;4303
Fusion;440;1693;3306
Heap;440;3326;9160
Bubble;440;48825;96580
Insert;440;48825;49258
Select;440;427;96580
Quick;440;3380;3599
Fusion;440;1714;3330
Heap;440;3282;9141
Bubble;440;48896;96580
Insert;440;48896;49333
Select;440;434;96580
Quick;440;3626;3923
Fusion;440;1716;3319
Heap;440;3288;9125
Bubble;440;47253;96580
Insert;440;47253;47685
Select;440;433;96580
Quick;440;4614;4207
Fusion;440;1698;3317
Heap;440;3358;9206
Bubble;450;51412;101025
Insert;450;51412;51858
Select;450;445;101025
Quick;450;3834;3963
Fusion;450;1739;3419
Heap;450;3332;9285
Bubble;450;52204;101025
Insert;450;52204;52645
Select;450;445;101025
Quick;450;4664;4408
Fusion;450;1747;3403
Heap;450;3381;9385
Bubble;450;49272;101025
Insert;450;49272;49717
Select;450;446;101025
Quick;450;3378;3884
Fusion;450;1752;3408
Heap;450;3405;9411
Bubble;450;52260;101025
Insert;450;52260;52700
Select;450;448;101025
Quick;450;5108;4383
Fusion;450;1732;3398
Heap;450;3374;9398
Bubble;450;51440;101025
Insert;450;51440;51883
Select;450;442;101025
Quick;450;3960;4193
Fusion;450;1795;3422
Heap;450;3399;9389
Bubble;450;51551;101025
Insert;450;51551;51993
Select;450;441;101025
Quick;450;4908;4142
Fusion;450;1768;3409
Heap;450;3400;9453
Bubble;450;49321;101025
Insert;450;49321;49764
Select;450;445;101025
Quick;450;4634;4290
Fusion;450;1715;3375
Heap;450;3377;9372
Bubble;450;48771;101025
Insert;450;48771;49217
Select;450;443;101025
Quick;450;4426;4463
Fusion;450;1746;3411
Heap;450;3442;9435
Bubble;450;50813;101025
Insert;450;50813;51260
Select;450;439;101025
Quick;450;3440;4379
Fusion;450;1761;3418
Heap;450;3363;9406
Bubble;450;52587;101025
Insert;450;52587;53031
Select;450;447;101025
Quick;450;3602;4665
Fusion;450;1745;3431
Heap;450;3387;9452
Bubble;460;56070;105570
Insert;460;56070;56525
Select;460;456;105570
Quick;460;4688;4516
Fusion;460;1788;3495
Heap;460;3415;9600
Bubble;460;52976;105570
Insert;460;52976;53427
Select;460;454;105570
Quick;460;4832;4363
Fusion;460;1776;3505
Heap;460;3472;9663
Bubble;460;51018;105570
Insert;460;51018;51470
Select;460;451;105570
Quick;460;4676;4627
Fusion;460;1799;3495
Heap;460;3503;9655
Bubble;460;51385;105570
Insert;460;51385;51833
Select;460;453;105570
Quick;460;4684;4130
Fusion;460;1806;3503
Heap;460;3521;9734
Bubble;460;53960;105570
Insert;460;53960;54413
Select;460;454;105570
Quick;460;4046;4095
Fusion;460;1787;3484
Heap;460;3428;9591
Bubble;460;50797;105570
Insert;460;50797;51249
Select;460;455;105570
Quick;460;4140;4100
Fusion;460;1787;3504
Heap;460;3471;9691
Bubble;460;50962;105570
Insert;460;50962;51415
Select;460;455;105570
Quick;460;5144;4675
Fusion;460;1748;3493
Heap;460;3473;9645
Bubble;460;52701;105570
Insert;460;52701;53154
Select;460;452;105570
Quick;460;4312;4166
Fusion;460;1802;3503
Heap;460;3524;9709
Bubble;460;49063;105570
Insert;460;49063;49518
Select;460;455;105570
Quick;460;4418;4491
Fusion;460;1796;3494
Heap;460;3522;9705
Bubble;460;52827;105570
Insert;460;52827;53282
Select;460;450;105570
Quick;460;4282;4194
Fusion;460;1772;3504
Heap;460;3528;9712
Bubble;470;54852;110215
Insert;470;54852;55315
Select;470;463;110215
Quick;470;4798;5186
Fusion;470;1820;3552
Heap;470;3569;9961
Bubble;470;55905;110215
Insert;470;55905;56369
Select;470;463;110215
Quick;470;3742;4305
Fusion;470;1828;3585
Heap;470;3613;10009
Bubble;470;54758;110215
Insert;470;54758;55223
Select;470;463;110215
Quick;470;4400;4091
Fusion;470;1815;3587
Heap;470;3531;9891
Bubble;470;54859;110215
Insert;470;54859;55322
Select;470;460;110215
Quick;470;4160;4148
Fusion;470;1808;3563
Heap;470;3603;9955
Bubble;470;53911;110215
Insert;470;53911;54374
Select;470;460;110215
Quick;470;4370;4390
Fusion;470;1855;3602
Heap;470;3585;9977
Bubble;470;56545;110215
Insert;470;56545;57011
Select;470;463;110215
Quick;470;4298;4835
Fusion;470;1822;3581
Heap;470;3538;9904
Bubble;470;54807;110215
Insert;470;54807;55274
Select;470;463;110215
Quick;470;4458;4493
Fusion;470;1848;3587
Heap;470;3619;9929
Bubble;470;55099;110215
Insert;470;55099;55563
Select;470;467;110215
Quick;470;4450;5024
Fusion;470;1848;3600
Heap;470;3590;9973
Bubble;470;54516;110215
Insert;470;54516;54980
Select;470;464;110215
Quick;470;4854;4513
Fusion;470;1852;3594
Heap;470;3580;9932
Bubble;470;49712;110215
Insert;470;49712;50176
Select;470;464;110215
Quick;470;4206;4426
Fusion;470;1828;3580
Heap;470;3618;9999
Bubble;480;57968;114960
Insert;480;57968;58440
Select;480;476;114960
Quick;480;5122;4334
Fusion;480;1865;3669
Heap;480;3639;10192
Bubble;480;56690;114960
Insert;480;56690;57164
Select;480;476;114960
Quick;480;3556;4650
Fusion;480;1886;3695
Heap;480;3653;10124
Bubble;480;56917;114960
Insert;480;56917;57391
Select;480;475;114960
Quick;480;3952;4461
Fusion;480;1861;3679
Heap;480;3637;10155
Bubble;480;58369;114960
Insert;480;58369;58840
Select;480;474;114960
Quick;480;6114;5167
Fusion;480;1857;3672
Heap;480;3683;10146
Bubble;480;58042;114960
Insert;480;58042;58513
Select;480;476;114960
Quick;480;4802;4671
Fusion;480;1862;3663
Heap;480;3699;10195
Bubble;480;55256;114960
Insert;480;55256;55730
Select;480;476;114960
Quick;480;4052;4275
Fusion;480;1879;3669
Heap;480;3649;10138
Bubble;480;56165;114960
Insert;480;56165;56641
Select;480;471;114960
Quick;480;4076;4838
Fusion;480;1882;3672
Heap;480;3649;10241
Bubble;480;55311;114960
Insert;480;55311;55781
Select;480;471;114960
Quick;480;4456;4362
Fusion;480;1847;3668
Heap;480;3704;10198
Bubble;480;55153;114960
Insert;480;55153;55628
Select;480;476;114960
Quick;480;4098;4620
Fusion;480;1866;3684
Heap;480;3753;10253
Bubble;480;55522;114960
Insert;480;55522;55993
Select;480;476;114960
Quick;480;4470;4894
Fusion;480;1861;3665
Heap;480;3697;10230
Bubble;490;58199;119805
Insert;490;58199;58684
Select;490;484;119805
Quick;490;4892;5210
Fusion;490;1949;3777
Heap;490;3752;10450
Bubble;490;61513;119805
Insert;490;61513;61996
Select;490;485;119805
Quick;490;5350;4833
Fusion;490;1926;3781
Heap;490;3736;10441
Bubble;490;60561;119805
Insert;490;60561;61047
Select;490;482;119805
Quick;490;6316;5188
Fusion;490;1886;3748
Heap;490;3778;10465
Bubble;490;59684;119805
Insert;490;59684;60162
Select;490;483;119805
Quick;490;4986;4802
Fusion;490;1927;3763
Heap;490;3726;10444
Bubble;490;60306;119805
Insert;490;60306;60788
Select;490;483;119805
Quick;490;4510;4447
Fusion;490;1931;3774
Heap;490;3763;10448
Bubble;490;61567;119805
Insert;490;61567;62048
Select;490;479;119805
Quick;490;4290;4521
Fusion;490;1930;3772
Heap;490;3684;10342
Bubble;490;58360;119805
Insert;490;58360;58847
Select;490;481;119805
Quick;490;4504;4699
Fusion;490;1885;3754
Heap;490;3748;10364
Bubble;490;58948;119805
Insert;490;58948;59434
Select;490;482;119805
Quick;490;4674;4512
Fusion;490;1919;3762
Heap;490;3719;10412
Bubble;490;60316;119805
Insert;490;60316;60803
Select;490;484;119805
Quick;490;4746;5010
Fusion;490;1918;3746
Heap;490;3751;10446
Bubble;490;62872;119805
Insert;490;62872;63356
Select;490;482;119805
Quick;490;4862;4810
Fusion;490;1940;3781
Heap;490;3738;10455
Bubble;500;62399;124750
Insert;500;62399;62892
Select;500;494;124750
Quick;500;4090;4719
Fusion;500;1946;3870
Heap;500;3884;10739
Bubble;500;58668;124750
Insert;500;58668;59163
Select;500;493;124750
Quick;500;4640;4621
Fusion;500;1928;3840
Heap;500;3863;10720
Bubble;500;60896;124750
Insert;500;60896;61391
Select;500;493;124750
Quick;500;4644;4661
Fusion;500;1948;3862
Heap;500;3874;10743
Bubble;500;59812;124750
Insert;500;59812;60303
Select;500;493;124750
Quick;500;4510;4714
Fusion;500;1931;3828
Heap;500;3924;10820
Bubble;500;62925;124750
Insert;500;62925;63416
Select;500;493;124750
Quick;500;4340;4308
Fusion;500;1928;3857
Heap;500;3792;10630
Bubble;500;61234;124750
Insert;500;61234;61730
Select;500;488;124750
Quick;500;4344;4864
Fusion;500;1934;3844
Heap;500;3913;10790
Bubble;500;62770;124750
Insert;500;62770;63265
Select;500;493;124750
Quick;500;4348;5038
Fusion;500;1975;3877
Heap;500;3793;10651
Bubble;500;60554;124750
Insert;500;60554;61049
Select;500;491;124750
Quick;500;4736;5179
Fusion;500;1939;3854
Heap;500;3839;10668
Bubble;500;61420;124750
Insert;500;61420;61914
Select;500;494;124750
Quick;500;4158;4483
Fusion;500;1950;3866
Heap;500;3826;10674
Bubble;500;65202;124750
Insert;500;65202;65694
Select;500;493;124750
Quick;500;5088;4480
Fusion;500;1972;3857
Heap;500;3853;10785
